Country,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
Afghanistan,,0.02,0.03,0.03,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albania,5.07,4.77,4.81,5.06,5.43,5.65,5.53,6.04,5.82,5.76,5.46,5.3,4.67,4.43,4.01,4.71,3.98,2.19,1.54,2.22,3.12,2.87,2.77,1.49,1.35,1.28,2.03,1.73,1.67,1.63,1.39,1.6,1.58,1.68,1.51,1.84,1.79
Algeria,0.56,0.56,0.56,0.54,0.49,0.44,0.39,0.48,0.43,0.39,0.43,0.55,0.52,0.39,0.43,0.27,0.32,0.23,0.26,0.28,0.29,0.29,0.25,0.24,0.2,0.18,0.19,0.4,0.42,0.28,0.29,0.31,0.33,0.33,0.42,0.46,0.48
Andorra,10.06,9.97,9.95,9.78,10.06,10.31,10.64,10.8,10.97,11.53,12.03,11.96,10.8,10.97,11.53,12.03,11.96,,,,,,,,,,,,,,,,,,,,
Angola,4.7,5.65,9,8.02,8.14,7.86,7.67,6.89,6.9,6.22,5.44,4.68,3.39,2.88,2.62,2.45,1.77,1.97,2.51,2.59,2.07,1.95,2,1.79,2.67,2.14,2.12,2.29,1.89,1.63,1.69,2.06,1.94,1.75,1.96,2.46,1.73
Antigua and Barbuda,,8.45,8.45,8.5,8.3,7.91,7.81,7.9,8.24,8.19,8.34,8.81,7.27,7.11,7.14,7.43,7.46,5.65,5.35,5.45,5.44,5.08,4.77,4.3,4.5,4.42,5.14,4.69,3.87,3.68,3.55,3.57,5.41,4.33,3.17,3.72,1.67
Argentina,,8.42,7.93,8.2,8.35,8.11,8.15,8.33,8.41,8.16,7.75,7.53,7.63,7.62,7.81,7.76,7.68,9.21,9.21,10.25,9.93,10.13,10.94,11.56,12.09,12.32,11.66,10.82,11.49,12.76,12.89,12.75,13.84,14.49,14.57,15.29,16.6
Armenia,3.77,3.84,3.97,3.72,3.84,4.06,4.23,3.97,3.96,4,4.01,4.25,3.81,3.03,2.93,2.96,2.98,2.16,1.9,2.84,2.92,2.98,4.34,2.71,2.52,2.98,3.18,,,,,,,,,,
Australia,9.71,9.52,9.71,9.87,10.03,10.3,10.52,10.62,10.76,10.56,10.31,10.3,9.84,9.97,9.84,9.53,10.17,9.88,9.79,9.91,9.77,9.69,9.89,9.63,10.32,10.64,11.01,12.09,12.39,12.45,12.3,12.89,12.74,12.76,13.05,13.46,13.3
Austria,,11.4,12.2,11.6,12.1,11.9,12.1,11.3,12,12.5,12.4,12.4,12.1,12.2,12.5,12.4,13.2,12.8,12.9,12.9,13.5,13.4,12.5,13.5,13.6,14.1,13.9,13.9,13.7,13.5,13.6,13.3,13.9,14,13.5,13.5,13.6
Azerbaijan,0.39,0.84,1.95,2.04,1.98,1.94,1.9,1.9,1.15,0.98,0.87,0.74,4.39,4.26,4.68,5.7,6.77,1.16,1.7,0.71,1.44,1.23,1.37,2.91,4.31,2.88,2.92,,,,,,,,,,
Bahamas,,8.65,8.62,8.55,8.86,8.94,8.75,8.63,9.53,10.02,10.29,10.64,9.98,10.68,10.83,11.62,12.19,8.65,9.78,10.27,10.3,10.93,12.95,12.8,13.2,12.45,12.53,12.34,12.17,14.17,14.13,14.55,14.74,15.17,15.88,14.67,15.09
Bahrain,2.08,2.16,2.12,2.12,2.02,1.86,2.1,2.1,2.16,2.16,2.2,2.15,2.15,2.14,1.96,1.93,2.15,2.95,2.55,6.13,4.9,4.7,4.64,5,5.11,5.3,5.39,4.89,4.94,5.59,5.1,5.46,6.66,7.09,6.16,4.37,4.2
Bangladesh,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.01,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0
Barbados,,9.15,8.97,8.88,8.79,8.49,8.45,8.55,8.83,8.43,8.6,8.17,7.67,7.61,7.53,7.32,7.24,6.64,5.49,5.88,5.85,5.76,7.39,7.51,7.09,7.54,7.36,,,,,,,,,,
Belarus,10.05,10.09,11.71,12.37,14.14,15.05,13.88,13.97,14.54,13.86,12.53,11.05,12.08,11.17,12.23,10.74,12.92,12.72,11.72,11.02,10.45,9.35,9.86,10.23,8.7,8.87,7.85,7.98,4.55,5.71,7.57,11.41,12.7,12.43,12.67,13.2,13.23
Belgium,,10.36,10.57,10.33,10.09,10.14,10.27,10.1,10.51,13.43,10.94,12.21,12.06,11.31,11.33,11.05,11.25,10.1,9.92,10.92,10.94,11.04,11.12,11.66,11.65,11.44,12.18,11.61,12.52,13.16,12.72,13.14,13.26,13.55,13.72,13.25,13.99
Belize,,6.2,6.17,6.17,6.28,6.26,6.38,6.45,6.86,6.93,6.22,6.06,6.04,5.53,4.87,4.77,4.67,5.2,5.23,5.16,5.23,5.94,5.55,6.35,5.69,4.91,5.21,,4.35,4.65,5.73,6.17,6.2,7.05,7.75,7.99,7.26
Benin,,1.55,1.6,1.45,1.42,1.44,1.37,1.21,1.34,1.2,1.26,1.22,1.23,1.44,1.33,1.38,1.43,1.17,1.26,1.17,1.28,0.83,0.7,0.96,0.83,0.77,0.94,1.38,1.35,1.53,1.25,1.23,1.42,1.64,2.49,2.34,1.86
Bhutan,,,,0.19,0.4,0.18,1.16,0.22,0.3,0.2,0.33,1.1,0.96,0.52,0.29,1.42,1.66,3.25,1.79,1.92,3.16,1.82,1.81,3,2.09,1.82,1.74,0.31,0.32,0.46,0.46,0.5,0.51,0.51,0.55,0.52,0.5
Bolivia (Plurinational State of),3.57,3.61,3.69,3.73,3.82,3.86,3.9,3.83,3.75,3.47,3.22,2.85,2.65,2.36,2.28,2.23,2.34,3.67,3.17,3.08,2.98,3.12,3.1,2.97,2.94,3.17,2.89,3.05,3.14,3.06,3.3,3.41,2.99,3.54,3.96,4.86,4.66
Bosnia and Herzegovina,4.44,4.33,4.34,4.43,4.69,4.65,4.5,4.71,5.09,5.11,4.78,4.53,4.22,4.12,3.89,3.95,3.69,8.57,8.37,10,9.68,8.47,8.19,8.55,10.03,13.79,11.87,,,,,,,,,,
Botswana,,6.22,5.47,4.72,5.13,6,5.61,5.3,7.46,6.84,7.13,6.15,4.67,5.38,6.16,5.12,4.95,4.51,5.05,4.93,5.02,5.27,5.08,5.53,6.38,5.13,5.44,4.68,4.56,4.27,4.5,4.4,4.38,3.28,3.21,3.55,3.58
