1	Algeria	1975
2	Argentina	2016
3	Australia	1975
4	Austria	1967
5	Bahrain	1957
6	Belgium	1945
7	Brazil	1988
8	Brunei	1958
9	Bulgaria	N/A
10	Canada	1966
11	Colombia	1993
12	Costa Rica	N/A
13	Cuba	1960s
14	Cyprus	1980
15	Denmark	1973
16	El Salvador	N/A
17	Estonia	N/A
18	Finland	1972
19	France	1974
20	Germany	1941
21	Greece	1983
22	Hong Kong	1993
23	Iceland	1990
24	Ireland	1977
25	Israel	1995
26	Italy	1978
27	Japan	1938
28	Kuwait	1950
29	Luxembourg	1973
30	Mexico	2012
31	New Zealand	1938
32	New Zealand	1938
33	North Korea	1955
34	Norway	1912
35	Oman	N/A
36	Poland	N/A
37	Portugal	1979
38	Romania	N/A
39	Singapore	1993
40	Slovenia	1972
41	South Korea	1988
42	Spain	1986
43	Sweden	1955
44	Switzerland	1994
45	Thailand	2002
46	The Netherlands	1966
47	Trinidad and Tobago	N/A
48	United Arab Emirates	1971
49	United Kingdom	1948
50	Venezuela	1999
51	Vietnam	1954
